*Input voltage 	VM1[1]
0	5.99999999991597
0.06	5.99999999991494
0.12	5.99999999990161
0.18	5.99999999976353
0.24	5.99999999835999
0.3	5.99999998412553
0.36	5.99999984001226
0.42	5.99999839178061
0.48	5.99998433815705
0.54	5.99986697390476
0.6	5.99923923093565
0.66	5.99751330993167
0.72	5.99463543897764
0.78	5.9908849781709
0.84	5.98651082167054
0.9	5.98168084881324
0.96	5.97650646814991
1.02	5.97106415273405
1.08	5.96540850480023
1.14	5.95957992180921
1.2	5.95360920547884
1.26	5.94752043919016
1.32	5.94133285306002
1.38	5.93506207518039
1.44	5.92872099716924
1.5	5.92232038931733
1.56	5.91586934830277
1.62	5.90937562996067
1.68	5.90284590126638
1.74	5.89628593432968
1.8	5.88970075797348
1.86	5.88309477775298
1.92	5.87647187213316
1.98	5.86983547039865
2.04	5.86318861639103
2.1	5.85653402112069
2.16	5.84987410769782
2.22	5.84321104295231
2.28	5.83654677697121
2.34	5.82988306305516
2.4	5.82322148204169
2.46	5.81656346165614
2.52	5.80991029322518
2.58	5.80326314618148
2.64	5.79662308070988
2.7	5.78999105881135
2.76	5.78336795402758
2.82	5.77675456001237
2.88	5.77015159811661
2.94	5.76355972411895
3	5.7569795342167
3.06	5.75041157037287
3.12	5.74385632510327
3.18	5.73731424576864
3.24	5.73078573843539
3.3	5.72427117135615
3.36	5.71777087811086
3.42	5.71128516045246
3.48	5.7048142908825
3.54	5.69835851499438
3.6	5.69191805360311
3.66	5.68549310468627
3.72	5.67908384515613
3.78	5.67269043247793
3.84	5.66631300615345
3.9	5.65995168907701
3.96	5.65360658878364
4.02	5.64727779859289
4.08	5.64096539866187
4.14	5.63466945695551
4.2	5.62839003014005
4.26	5.62212716440748
4.32	5.61588089623673
4.38	5.60965125309961
4.44	5.60343825410877
4.5	5.59724191062404
4.56	5.59106222680936
4.62	5.58489920015196
4.68	5.57875282194243
4.74	5.57262307772233
4.8	5.56650994770032
4.86	5.56041340713542
4.92	5.55433342669904
4.98	5.54826997280672
5.04	5.54222300793308
5.1	5.53619249089839
5.16	5.53017837714341
5.22	5.52418061897721
5.27999999999999	5.51819916581708
5.33999999999999	5.51223396440666
5.39999999999999	5.50628495902214
5.45999999999999	5.50035209166361
5.51999999999999	5.49443530223551
5.57999999999999	5.4885345287143
5.63999999999999	5.48264970730474
5.69999999999999	5.47678077258852
5.75999999999999	5.47092765765988
5.81999999999999	5.46509029425652
5.87999999999999	5.45926861287701
5.93999999999999	5.45346254289728
5.99999999999999	5.44767201267385
